SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
4	1101	8183808	2980492
4	1102	8183808	2974416
4	1103	8183808	2997212
4	1104	8183808	2998365
4	1105	8183808	2985473
4	1106	8183808	2989600
4	1107	8183808	3000557
4	1108	8183808	3019723
4	1109	8183808	3012642
4	1110	8183808	3023819
4	1111	8183808	3022067
4	1112	8183808	3029887
4	1113	8183808	3050326
4	1114	8183808	3050585
4	1115	8183808	3055065
4	1116	8183808	3054607
4	1117	8183808	3060891
4	1118	8183808	3065685
4	1119	8183808	3072756
4	1120	8183808	3065160
4	1121	8183808	3072622
4	1122	8183808	3069675
4	1123	8183808	3070473
4	1124	8183808	3072394
4	1125	8183808	3077947
4	1126	8183808	3075299
4	1127	8183808	3077993
4	1128	8183808	3049947
4	1129	8183808	3064697
4	1130	8183808	3087490
4	1131	8183808	3100644
4	1132	8183808	3089589
4	1133	8183808	3088210
4	1134	8183808	3091514
4	1135	8183808	3087181
4	1136	8183808	3089262
4	1137	8183808	3089313
4	1138	8183808	3094105
4	1139	8183808	3088223
4	1140	8183808	3087031
4	1141	8183808	3096741
4	1142	8183808	3100516
4	1143	8183808	3103651
4	1144	8183808	3102078
4	1145	8183808	3105764
4	1146	8183808	3101042
4	1147	8183808	3104080
4	1148	8183808	3115244
4	1149	8183808	3108937
4	1150	8183808	3111052
4	1151	8183808	3108565
4	1152	8183808	3112094
4	1153	8183808	3102093
4	1154	8183808	3117950
4	1155	8183808	3122135
4	1156	8183808	3121973
4	1157	8183808	3119117
4	1158	8183808	3120058
4	1159	8183808	3123555
4	1160	8183808	3127342
4	1161	8183808	3126622
4	1162	8183808	3127801
4	1163	8183808	3135634
4	1164	8183808	3119578
4	1165	8183808	3128064
4	1166	8183808	3126952
4	1167	8183808	3124818
4	1168	8183808	3124233
4	1169	8183808	3132936
4	1170	8183808	3130355
4	1171	8183808	3137342
4	1172	8183808	3125736
4	1173	8183808	3129616
4	1174	8183808	3127263
4	1175	8183808	3132894
4	1176	8183808	3120872
4	1177	8183808	3117521
4	1178	8183808	3116742
4	1201	8183808	3023605
4	1202	8183808	3027374
4	1203	8183808	3026165
4	1204	8183808	3017843
4	1205	8183808	3025495
4	1206	8183808	3054556
4	1207	8183808	3021203
4	1208	8183808	3024729
4	1209	8183808	3031573
