Table S10: Differential expression test results for posterior vs. other intestine.,,,,,
gene_id,symbol,q-value,posterior TPM,other TPM,"moderated log2
(posterior / other)"
WBGene00018237,drd-2,1.37E-59,18812.316,611.227,4.941
WBGene00206522,F14D2.19,1.23E-22,1099.192,6.861,7.127
WBGene00003943,pbo-4,3.03E-22,1054.098,0.000,10.042
WBGene00012018,T25C12.3,1.38E-18,8823.306,1248.978,2.819
WBGene00006404,tag-10,6.34E-18,14.873,2711.753,-7.416
WBGene00008741,F13D12.6,6.54E-18,12.010,2350.836,-7.497
WBGene00007331,pho-11,7.61E-18,862.636,6.820,6.785
WBGene00015609,math-4,4.08E-15,667.046,2.835,7.443
WBGene00017418,F13B6.3,1.32E-14,680.793,10.349,5.907
WBGene00000785,cpr-5,6.06E-14,17.179,1676.559,-6.527
WBGene00003779,nob-1,6.55E-14,619.788,0.000,9.276
WBGene00017892,F28B4.3,8.96E-13,84.735,2057.186,-4.585
WBGene00009008,F21D5.3,3.83E-12,16.218,1198.483,-6.121
WBGene00003959,pcp-4,1.87E-11,671.596,24.089,4.742
WBGene00012530,Y32F6A.5,9.26E-11,10.694,1197.479,-6.678
WBGene00008167,acox-5,1.14E-10,2.504,1017.968,-8.182
WBGene00003957,pcp-2,2.04E-10,803.343,79.140,3.325
WBGene00009920,abts-1,4.49E-10,83.668,1518.252,-4.164
WBGene00017322,clec-160,4.49E-10,8.004,917.480,-6.671
WBGene00004058,pmp-1,9.46E-10,17.910,862.737,-5.512
WBGene00019146,H02F09.3,2.00E-09,454.410,6.756,5.873
WBGene00013901,ugt-16,3.52E-09,113.477,818.811,-2.838
WBGene00003006,lin-17,1.68E-08,338.794,2.097,6.773
WBGene00012134,T28F3.8,2.86E-08,459.085,11.218,5.232
WBGene00008220,C50B6.7,6.12E-08,352.624,1.736,7.010
WBGene00018138,folt-2,1.38E-07,27.475,722.536,-4.665
WBGene00008602,oac-14,1.58E-07,75.676,1122.553,-3.872
WBGene00021518,hpo-6,1.59E-07,357.151,19.121,4.150
WBGene00019682,K12H4.7,4.23E-07,93.691,1135.656,-3.584
WBGene00010070,nep-17,5.32E-07,2236.188,10859.764,-2.279
WBGene00007153,clec-41,1.70E-06,40.360,649.451,-3.973
WBGene00015713,C12D12.1,1.94E-06,904.510,167.658,2.423
WBGene00021503,ctsa-2,2.60E-06,83.047,624.376,-2.893
WBGene00020128,R193.2,3.50E-06,271.048,1719.245,-2.660
WBGene00007455,ugt-22,4.39E-05,296.724,1300.251,-2.127
WBGene00020788,nep-22,4.39E-05,375.689,1554.115,-2.045
WBGene00001177,egl-8,5.82E-05,1677.356,481.278,1.798
WBGene00019605,ctsa-1,6.46E-05,22.087,527.437,-4.514
WBGene00022858,ZK1193.2,9.89E-05,3.426,362.145,-6.354
WBGene00008654,F10F2.2,0.000107638536728089,1152.291,285.055,2.010
WBGene00009560,psa-3,0.000118064183437408,258.729,21.402,3.530
WBGene00012445,Y16B4A.2,0.000128322829222461,3324.339,1175.535,1.499
WBGene00007414,C07E3.3,0.000196740374499355,483.911,81.092,2.559
WBGene00003097,lys-8,0.000310029076528358,60.871,545.611,-3.141
WBGene00011676,cyp-13A2,0.000583787346635523,78.227,501.768,-2.663
WBGene00022500,lfi-1,0.000594025953160293,577.972,2121.304,-1.873
WBGene00235352,ZK250.13,0.000645482214907855,188.964,0.000,7.562
WBGene00015048,faah-2,0.000693105801588993,100.924,631.859,-2.632
WBGene00000458,ceh-37,0.00128744429135782,0.000,283.126,-8.145
WBGene00000784,cpr-4,0.00164817267765293,19.582,313.035,-3.927
WBGene00004023,pho-4,0.0018179292207354,8.026,253.500,-4.812
WBGene00011511,gpcp-2,0.00212177947769771,420.171,68.138,2.603
WBGene00004036,plc-1,0.00256015879387474,209.686,9.656,4.298
WBGene00006580,tlp-1,0.00296319967689468,147.137,2.050,5.592
WBGene00013118,Y51H4A.24,0.00296319967689468,166.075,4.503,4.916
WBGene00022615,ZC449.5,0.00296319967689468,21.815,346.521,-3.925
WBGene00015047,faah-1,0.0030146014405001,283.466,16.917,3.984
WBGene00016064,acd-1,0.00322791215504411,155.276,2.143,5.627
WBGene00011212,R10E8.6,0.00365916556182913,186.874,11.298,3.926
WBGene00007545,C13B4.1,0.00369780765125378,3.774,241.853,-5.663
WBGene00011487,T05E12.6,0.00369780765125378,746.214,226.221,1.715
WBGene00017431,F13H6.3,0.00369780765125378,121.857,634.669,-2.369
WBGene00012824,Y43F8B.14,0.00381303403028435,228.939,11.096,4.242
WBGene00015400,cyp-35A2,0.00436002899346183,23.511,244.390,-3.318
WBGene00009518,clec-166,0.00480389585385272,0.000,202.049,-7.659
WBGene00019068,faah-3,0.00522213573083214,5.744,246.339,-5.191
WBGene00016759,C49A9.5,0.00540185053738674,201.849,0.266,7.317
WBGene00003572,ncx-7,0.00637159917783037,20.593,251.263,-3.541
WBGene00019261,H34I24.2,0.00749483750938045,0.000,185.736,-7.537
WBGene00022176,Y71H2AM.11,0.0100922907479655,10.525,221.685,-4.266
WBGene00004441,rpl-27,0.0111829198570308,183.667,438.023,-1.246
WBGene00007605,asp-10,0.0112084906867707,607.293,1551.165,-1.351
WBGene00010850,M04C3.1,0.0114987791046798,3332.608,1412.106,1.238
WBGene00012947,Y47H9C.1,0.0118707129664212,23.038,287.093,-3.578
WBGene00000781,cpr-1,0.0152806931368603,8.526,227.498,-4.578
WBGene00017470,F14H12.2,0.0157323922861183,117.339,0.000,6.875
WBGene00022518,zfh-2,0.0157323922861183,228.918,22.971,3.255
WBGene00022781,pmt-1,0.0214284801278674,200.353,23.486,3.033
WBGene00015116,pacs-1,0.0238051431079943,426.843,114.138,1.890
WBGene00017332,ugt-37,0.0238051431079943,90.590,382.497,-2.062
WBGene00016063,delm-2,0.0273286249353634,122.496,0.000,6.937
WBGene00000530,clh-3,0.0286693725236182,39.343,311.707,-2.950
WBGene00008936,papl-1,0.0286693725236182,0.000,213.331,-7.737
WBGene00000541,cln-3.3,0.0290750946579866,126.864,1.413,5.716
WBGene00011672,cyp-13A5,0.0290750946579866,24.712,268.616,-3.385
WBGene00000070,acy-3,0.0298596335662016,284.836,78.868,1.834
WBGene00003413,mrp-7,0.0307206941842775,137.917,456.133,-1.715
WBGene00008599,F09A5.2,0.0307206941842775,8.691,200.395,-4.370
WBGene00013119,Y51H4A.25,0.0307206941842775,581.690,196.292,1.560
WBGene00016769,C49C8.5,0.0307206941842775,970.264,367.613,1.396
WBGene00021160,gba-4,0.0307206941842775,0.000,152.242,-7.250
WBGene00004995,spp-10,0.0397224224371897,3.771,231.867,-5.603
