Table S11: Differential expression test results for amphid vs. phasmid sheath cells. ,,,,,
gene_id,symbol,q-value,amphid TPM,phasmid TPM,"moderated log2
(amphid / phasmid)"
WBGene00006886,vap-1,1.77E-55,16871.771,0.000,14.042
WBGene00010516,K02E11.7,2.95E-41,2.979,4372.576,-10.102
WBGene00019563,K09C6.9,9.17E-35,9263.557,59.630,7.255
WBGene00020054,R13D7.2,1.15E-30,6887.751,156.663,5.449
WBGene00001392,far-8,6.76E-21,32545.519,3459.106,3.234
WBGene00022230,Y73B6A.3,9.34E-20,2334.418,19.846,6.807
WBGene00017376,F11C7.2,5.94E-18,5004.444,128.039,5.277
WBGene00022093,Y69A2AR.22,1.41E-15,9633.281,1014.920,3.245
WBGene00015710,C12D5.9,1.25E-13,1787.149,82.580,4.418
WBGene00008707,F11E6.3,2.70E-13,4.423,1095.346,-7.658
WBGene00013485,Y69H2.10,5.20E-12,471.108,3152.556,-2.739
WBGene00044376,Y49F6B.12,8.60E-12,128.594,1457.390,-3.491
WBGene00007854,C31H5.1,1.79E-11,1021.126,0.000,9.996
WBGene00020155,T02B11.3,3.72E-09,53026.251,13681.906,1.954
WBGene00006923,vhp-1,8.05E-09,49.162,591.540,-3.560
WBGene00001710,grl-1,1.10E-08,0.000,635.893,-9.313
WBGene00008554,F07C6.3,1.52E-08,2586.925,464.304,2.475
WBGene00015202,B0478.3,2.88E-08,668.804,0.000,9.385
WBGene00011817,T16H12.9,4.34E-08,72.462,790.158,-3.427
WBGene00009896,scl-3,4.81E-08,1064.571,95.652,3.461
WBGene00012423,Y10G11A.1,4.81E-08,37.425,670.319,-4.125
WBGene00007450,C08F11.1,1.16E-07,602.031,0.000,9.234
WBGene00044077,tag-232,1.26E-07,616.827,0.000,9.269
WBGene00015786,C15B12.4,1.58E-07,2207.228,388.486,2.503
WBGene00000978,dhs-15,1.78E-07,589.459,0.000,9.203
WBGene00001898,his-24,2.27E-07,105.279,1156.775,-3.444
WBGene00044582,B0222.11,3.14E-07,564.384,0.000,9.141
WBGene00020589,T19H12.3,3.30E-07,2883.005,503.287,2.515
WBGene00021894,Y54G2A.32,7.49E-07,3530.347,730.525,2.271
