Table S12: Differential expression test results for the ASEL vs. ASER neuron. ,,,,,,,,,,,,
gene_id,symbol,q-value,ASEL TPM,ASER TPM,"moderated log2
(ASEL / ASER)",,,,,,,
WBGene00001530,gcy-3,2.19E-12,0.000,9593.506,-13.228,,,,,,,
WBGene00001547,gcy-22,4.98E-12,0.000,8862.360,-13.113,,,,,,,
WBGene00004053,tank-1,6.18E-10,1794.188,36169.778,-4.333,,,,,,,
WBGene00019592,K09F6.9,2.79E-09,0.000,5925.954,-12.533,,,,,,,
WBGene00001533,gcy-6,3.43E-09,6909.705,0.000,12.754,,,,,,,
WBGene00001542,gcy-17,3.43E-09,6553.874,0.000,12.678,,,,,,,
WBGene00001540,gcy-14,1.91E-08,6083.649,0.000,12.571,,,,,,,
WBGene00019593,K09F6.10,2.18E-08,0.000,4441.100,-12.117,,,,,,,
WBGene00001545,gcy-20,4.28E-08,5339.037,0.000,12.382,,,,,,,
WBGene00017157,tyra-2,1.52E-07,0.000,3753.158,-11.874,,,,,,,
WBGene00001534,gcy-7,2.03E-06,3709.660,0.000,11.857,,,,,,,
WBGene00195081,C04F6.7,2.61E-06,3278.135,0.000,11.679,,,,,,,
WBGene00006752,unc-13,5.52E-06,30.063,3361.087,-6.758,,,,,,,
WBGene00001560,gei-3,7.80E-06,1095.928,12076.301,-3.461,,,,,,,
WBGene00017236,F08B4.4,8.98E-06,0.000,2443.929,-11.255,,,,,,,
WBGene00015729,C13A10.2,9.18E-06,0.000,2516.238,-11.297,,,,,,,
WBGene00001841,hen-1,0.00041177420667813,196.149,3143.697,-3.995,,,,,,,
WBGene00003745,nlp-7,0.000564013299810534,0.000,1556.108,-10.604,,,,,,,
WBGene00001531,gcy-4,0.000677473539187788,0.000,1550.987,-10.599,,,,,,,
WBGene00002988,lim-6,0.000677473539187788,1981.527,0.000,10.952,,,,,,,
WBGene00012128,nra-1,0.000802805994061083,30.063,1786.557,-5.846,,,,,,,
WBGene00003743,nlp-5,0.00117970823611622,0.000,1408.756,-10.460,,,,,,,
WBGene00011682,snt-7,0.00126098498244563,0.000,1385.751,-10.436,,,,,,,
WBGene00019180,H10D18.5,0.00183458347003391,1665.998,0.000,10.702,,,,,,,
WBGene00011393,T03D8.6,0.00228359819188592,114.038,2229.530,-4.277,,,,,,,
WBGene00001532,gcy-5,0.00289702600966984,0.000,1243.085,-10.280,,,,,,,
WBGene00022623,ZC487.1,0.00289702600966984,0.000,1461.017,-10.513,,,,,,,
WBGene00007010,alx-1,0.00509387306720019,0.000,963.297,-9.912,,,,,,,
WBGene00000793,crh-1,0.00724372472095287,5675.336,800.504,2.824,,,,,,,
WBGene00008341,ttr-44,0.00864842091542508,1875.347,82.749,4.485,,,,,,,
WBGene00004032,pkc-1,0.00927672131611695,563.509,3677.959,-2.704,,,,,,,
WBGene00012644,rabx-5,0.0109911939738286,998.683,0.000,9.964,,,,,,,
WBGene00015117,B0294.1,0.0125723229015916,6560.872,1352.700,2.277,,,,,,,
WBGene00013315,Y57G11C.20,0.015049940310792,0.000,912.312,-9.833,,,,,,,
WBGene00018369,mig-39,0.015489837920301,2927.372,313.899,3.217,,,,,,,
WBGene00004924,snt-4,0.0170236780970019,2840.935,366.923,2.949,,,,,,,
WBGene00006615,trp-2,0.0193759433469102,0.000,901.043,-9.815,,,,,,,
WBGene00006805,unc-73,0.0214884024747239,2727.251,324.827,3.065,,,,,,, `
WBGene00000396,cdh-4,0.0218759385835315,1512.862,51.854,4.839,,,,,,,
WBGene00001544,gcy-19,0.0226438162479163,663.438,3574.418,-2.428,,,,,,,
WBGene00020854,T27C4.1,0.0311883508201211,3210.293,11338.218,-1.820,,,,,,,
WBGene00000403,casy-1,0.0443180880046441,14985.967,4689.658,1.676,,,,,,,
WBGene00010700,nipi-3,0.0446988775928507,259.577,1918.182,-2.880,,,,,,,
WBGene00015735,pdfr-1,0.045572398984615,4294.406,911.987,2.234,,,,,,,
WBGene00016097,C25E10.8,0.0535961555730443,3165.562,457.983,2.786,,,,,,,
WBGene00011737,sqst-1,0.0616623525934552,43.243,924.800,-4.386,,,,,,,
WBGene00006608,tre-2,0.0639872294559536,1531.829,111.377,3.769,,,,,,,
WBGene00004449,rpl-35,0.0667471402303681,33.911,1001.001,-4.842,,,,,,,
WBGene00017571,jmjd-3.1,0.0667471402303681,2278.352,360.818,2.655,,,,,,,
WBGene00018764,F53F10.2,0.0667471402303681,186.280,1360.928,-2.861,,,,,,,
WBGene00023417,swm-1,0.0667471402303681,4566.904,1185.684,1.944,,,,,,,
WBGene00013709,csnk-1,0.0775071919598193,2408.137,371.272,2.693,,,,,,,
WBGene00001749,gst-1,0.0802526785411009,313.011,1670.226,-2.411,,,,,,,
WBGene00014150,ZK909.6,0.0802526785411009,40.888,782.758,-4.224,,,,,,,
WBGene00006798,unc-64,0.080499202063114,130.182,1227.516,-3.226,,,,,,,
WBGene00002008,hsp-4,0.0867124133076464,1186.625,4188.472,-1.818,,,,,,,
WBGene00011453,ugt-56,0.0904577555792632,1418.617,134.258,3.391,,,,,,,
WBGene00000953,del-2,0.0937130357688768,716.908,2938.759,-2.033,,,,,,,
WBGene00019521,dmd-7,0.101146669079952,497.344,2193.984,-2.138,,,,,,,
WBGene00001508,fut-8,0.103445240854222,1466.507,192.033,2.925,,,,,,,
WBGene00017597,F19C7.8,0.103824689381771,1906.153,351.532,2.435,,,,,,,
WBGene00021304,nphp-2,0.103824689381771,576.935,2631.593,-2.187,,,,,,,
WBGene00010736,istr-1,0.1124114471786,211.149,1358.733,-2.679,,,,,,,
WBGene00008622,F09C8.2,0.117489398921779,1793.281,5142.540,-1.519,,,,,,,
WBGene00016739,pitr-1,0.118368908639092,30.063,661.024,-4.411,,,,,,,
WBGene00009888,F49E2.5,0.124376237696397,2165.712,318.100,2.763,,,,,,,
WBGene00001495,frm-9,0.125072573488707,2888.233,653.026,2.143,,,,,,,
WBGene00003695,nhr-105,0.125072573488707,2081.343,367.101,2.499,,,,,,,
WBGene00007816,C30F2.2,0.126457246460409,453.320,2061.796,-2.182,,,,,,,
WBGene00018117,nlp-47,0.128619420073727,1912.220,335.481,2.507,,,,,,,
WBGene00007877,nfki-1,0.133670219376047,2044.937,394.868,2.369,,,,,,,
WBGene00000223,atf-7,0.133965738877115,2195.136,503.048,2.123,,,,,,,
WBGene00006727,ubq-1,0.133965738877115,827.480,2941.564,-1.828,,,,,,,
WBGene00009512,F37H8.3,0.154879099273627,1313.398,245.852,2.412,,,,,,,
WBGene00006767,unc-31,0.157985599683326,351.388,1656.261,-2.233,,,,,,,
WBGene00009100,rgef-1,0.158406813232326,2061.189,405.825,2.341,,,,,,,
WBGene00006780,unc-44,0.170527056725621,7647.438,2915.088,1.391,,,,,,,
WBGene00012543,nkcc-1,0.176391824795727,1206.181,113.004,3.403,,,,,,,
WBGene00001081,dpy-22,0.177932804317602,1946.972,426.190,2.188,,,,,,,
WBGene00003920,par-5,0.177932804317602,785.018,2806.626,-1.836,,,,,,,
WBGene00003969,pef-1,0.177932804317602,1954.975,5155.957,-1.398,,,,,,,
WBGene00010200,F57C7.4,0.177932804317602,2216.422,529.182,2.064,,,,,,,
WBGene00001177,egl-8,0.186265475753111,1822.110,4766.174,-1.386,,,,,,,
WBGene00003961,pct-1,0.187969988314814,228.661,1352.452,-2.558,,,,,,,
WBGene00004482,rps-13,0.187969988314814,297.031,1393.057,-2.225,,,,,,,
WBGene00022313,Y77E11A.12,0.19354095213431,424.508,1723.220,-2.018,,,,,,,
WBGene00004307,rap-1,0.193942008123301,1133.667,192.935,2.547,,,,,,,
WBGene00004424,rpl-12,0.194753972671218,1856.592,465.594,1.992,,,,,,,
WBGene00004347,rgs-4,0.223636945185918,956.813,168.604,2.496,,,,,,,
WBGene00009587,mig-38,0.223636945185918,421.762,1546.984,-1.872,,,,,,,
WBGene00004862,sma-9,0.224957256631552,2272.930,559.986,2.019,,,,,,,
WBGene00008505,F01G4.6,0.247800129295017,2350.073,588.567,1.995,,,,,,,
WBGene00017900,F28E10.1,0.247800129295017,1464.889,378.601,1.948,,,,,,,
WBGene00000552,cmd-1,0.27101649571252,1075.897,2971.724,-1.464,,,,,,,
WBGene00003040,lin-59,0.27101649571252,1967.323,4512.528,-1.197,,,,,,,
WBGene00003404,mpz-1,0.27101649571252,2349.802,707.279,1.730,,,,,,,
WBGene00006632,tsp-6,0.272789935995832,258.578,1232.502,-2.247,,,,,,,
WBGene00007799,nrx-1,0.286371189748561,3026.118,6643.412,-1.134,,,,,,,
