Table S3: Tissue-level consensus expression profiles. Values listed are transcripts per million.,,,,,,,,
gene_id,symbol,Neurons,Gonad,Hypodermis,Pharynx,Body_wall_muscle,Glia,Intestine
WBGene00000001,aap-1,20.107,60.103,14.594,14.657,7.426,18.019,25.809
WBGene00000002,aat-1,16.336,7.073,6.134,230.251,0.206,1.391,1.026
WBGene00000003,aat-2,17.811,5.871,6.336,12.711,47.708,3.220,0.000
WBGene00000004,aat-3,67.545,7.921,14.894,9.632,53.555,58.192,5.056
WBGene00000005,aat-4,0.000,0.108,0.212,0.079,0.059,0.000,16.171
WBGene00000006,aat-5,217.820,0.771,5.410,55.138,215.532,0.000,2.823
WBGene00000007,aat-6,1.470,0.551,1.251,6.969,0.161,12.945,3.541
WBGene00000008,aat-7,0.805,0.339,0.052,0.000,0.099,0.000,5.109
WBGene00000009,aat-8,0.000,0.050,0.383,0.279,0.132,0.000,1.594
WBGene00000010,aat-9,18.725,156.172,32.363,14.260,24.417,7.823,15.410
WBGene00000012,abf-1,0.000,0.036,0.216,0.000,1.089,0.000,0.878
WBGene00000013,abf-2,3.501,0.104,0.000,65.018,0.147,0.000,1.080
WBGene00000014,abf-3,0.000,0.116,0.155,0.000,0.000,0.000,0.000
WBGene00000015,abf-4,0.000,0.000,0.000,5.255,0.000,5.380,0.000
WBGene00000016,abf-5,1.127,0.000,0.277,26.095,0.093,0.000,0.000
WBGene00000017,abf-6,1.296,0.210,1.437,809.584,0.155,0.000,2.969
WBGene00000018,abl-1,258.895,14.380,102.358,285.468,119.415,760.872,217.770
WBGene00000019,abt-1,2.757,3.629,0.801,0.000,0.898,0.000,1.992
WBGene00000020,abt-2,400.543,8.176,18.429,855.139,8.636,47.069,313.969
WBGene00000022,abt-4,1.040,0.514,1.031,16.042,0.608,0.000,876.653
WBGene00000023,abt-5,2.562,0.971,0.437,1.139,0.733,0.000,0.000
WBGene00000024,abu-1,0.000,0.970,0.662,561.396,0.105,0.000,2.122
WBGene00000025,abu-2,3.247,0.000,0.000,0.000,0.396,0.000,0.000
WBGene00000027,abu-4,1.041,0.134,0.000,0.000,0.208,0.000,0.000
WBGene00000028,abu-5,0.000,0.000,0.000,0.000,0.000,0.000,0.000
WBGene00000029,abu-6,0.000,0.000,0.123,117.088,0.200,0.000,1.313
WBGene00000030,abu-7,0.286,0.000,0.247,174.184,0.000,0.000,0.000
WBGene00000031,abu-8,9.169,1.202,15.459,8355.775,1.073,27.660,24.122
WBGene00000032,abu-9,0.000,0.204,0.000,9.951,0.058,0.000,0.000
WBGene00000033,abu-10,2.880,0.717,0.314,747.366,0.194,0.000,12.660
WBGene00000034,abu-11,0.221,0.926,1.622,432.645,0.677,0.000,9.072
WBGene00000035,ace-1,8.688,0.000,1.306,9.908,133.503,2.776,1.224
WBGene00000036,ace-2,86.983,1.806,37.711,34.366,60.462,76.030,84.920
WBGene00000037,ace-3,169.551,1.485,3.258,20.476,5.829,0.000,1.430
WBGene00000038,ace-4,24.593,1.348,0.462,6.837,2.217,0.000,1.777
WBGene00000039,acn-1,5.821,1.187,439.122,7.592,0.921,109.745,6.564
WBGene00000040,aco-1,14.024,3.314,160.374,72.516,13.401,95.398,178.283
WBGene00000041,aco-2,133.502,173.611,143.373,147.395,655.110,100.344,300.970
WBGene00000042,acr-2,58.576,0.153,0.000,1.017,0.323,0.000,0.000
WBGene00000043,acr-3,3.245,0.108,0.554,0.000,0.404,0.000,0.000
WBGene00000044,acr-5,58.819,0.424,1.823,5.054,0.134,1.140,0.000
WBGene00000045,acr-6,6.924,0.324,1.517,0.430,1.001,0.000,0.000
WBGene00000046,acr-7,0.753,0.201,3.175,5.681,5.056,3.210,16.282
WBGene00000047,acr-8,2.458,0.195,0.992,2.054,63.876,2.098,0.000
WBGene00000048,acr-9,112.214,0.392,1.877,5.071,0.741,0.000,0.647
WBGene00000049,acr-10,1.149,0.249,0.942,1.356,1.293,1.652,1.328
WBGene00000050,acr-11,1.694,4.792,0.665,0.573,0.116,0.000,8.584
WBGene00000051,acr-12,96.518,0.791,3.662,2.060,1.246,4.434,8.457
