Table S4: Cell type consensus expression profiles. Values listed are transcripts per million.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gene_id,symbol,Germline,Intestinal/rectal_muscle,Coelomocytes,Ciliated_sensory_neurons,Seam_cells,Non-seam_hypodermis,Pharyngeal_epithelia,Touch_receptor_neurons,Body_wall_muscle,Cholinergic_neurons,Distal_tip_cells,Vulval_precursors,Other_interneurons,GABAergic_neurons,Am/PH_sheath_cells,Pharyngeal_muscle,Pharyngeal_neurons,Oxygen_sensory_neurons,Somatic_gonad_precursors,flp-1(+)_interneurons,Canal_associated_neurons,Pharyngeal_gland,Sex_myoblasts,Excretory_cells,Socket_cells,Rectum,Intestine
WBGene00000001,aap-1,62.497,10.205,23.522,2.602,17.685,6.125,19.127,63.350,7.426,14.765,25.746,39.834,8.677,12.438,14.614,26.793,0.000,34.100,38.821,34.323,15.497,2.756,33.446,11.551,17.452,0.000,25.809
WBGene00000002,aat-1,0.000,0.000,73.422,16.976,4.459,7.957,190.044,0.000,0.206,40.348,57.794,1.857,0.000,0.000,3.548,64.367,105.334,3.174,87.774,0.000,6.719,255.232,205.182,0.000,0.000,40.751,1.026
WBGene00000003,aat-2,0.000,80.016,26.608,0.000,0.821,8.642,9.406,11.976,47.708,34.941,43.202,1.264,11.361,7.375,0.000,24.871,18.147,78.474,74.524,3.885,0.000,20.001,163.596,0.000,8.374,4.063,0.000
WBGene00000004,aat-3,0.249,52.853,8.283,27.344,14.230,16.589,0.000,10.967,53.555,31.724,178.357,19.259,55.744,573.280,37.237,29.684,77.936,65.493,54.982,58.662,0.000,4.684,79.588,43.393,76.614,44.354,5.056
WBGene00000005,aat-4,0.118,2.013,2.159,0.000,0.317,0.000,0.000,0.000,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.463,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.171
WBGene00000006,aat-5,0.596,30.177,13.613,36.758,4.639,5.133,13.522,152.186,215.532,343.420,9.915,0.000,397.896,334.653,0.000,275.101,168.929,105.024,0.000,249.525,0.000,0.000,105.255,14.674,0.000,1.354,2.823
WBGene00000007,aat-6,0.604,0.000,0.000,0.000,1.867,0.000,10.663,0.000,0.161,0.000,0.000,0.000,0.000,0.000,33.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.541
WBGene00000008,aat-7,0.372,0.000,0.000,0.000,0.078,0.000,0.000,0.000,0.099,0.000,0.000,0.000,0.000,14.881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.109
WBGene00000009,aat-8,0.054,0.000,0.000,0.000,0.572,0.000,0.726,0.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.594
WBGene00000010,aat-9,164.241,34.565,51.669,12.804,34.883,29.585,7.309,0.000,24.417,13.609,46.831,66.615,4.570,0.000,17.929,1.889,7.424,0.000,82.167,0.000,119.886,26.988,82.934,18.364,2.065,36.086,15.410
WBGene00000012,abf-1,0.000,0.000,0.000,0.000,0.322,0.000,0.000,0.000,1.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.546,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.878
WBGene00000013,abf-2,0.114,0.000,0.000,0.000,0.000,0.000,5.090,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,1.688,11.666,0.000,0.000,0.000,0.000,466.573,0.000,0.000,0.000,0.000,1.080
WBGene00000014,abf-3,0.127,0.000,0.000,0.000,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
WBGene00000015,abf-4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.722,9.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
WBGene00000016,abf-5,0.000,0.000,0.000,0.000,0.414,0.000,4.798,0.000,0.093,0.000,0.000,0.000,0.000,20.833,0.000,97.402,0.000,0.000,0.000,0.000,0.000,18.876,0.000,0.000,0.000,0.000,0.000
