Table S6: Differential expression test results for the identification of tissue-enriched genes. ,,,,,,,,
gene_id,symbol,max.tissue,max.tissue.expr,tissue.2,tissue.2.expr,ratio,pval,qval
WBGene00010070,nep-17,Intestine,8366.29,Pharynx,3.44,1884.31,0,0
WBGene00020155,T02B11.3,Glia,16444.11,Hypodermis,12.25,1240.78,0,0
WBGene00019617,K10C2.1,Intestine,6565.49,Neurons,5.85,958.72,0,0
WBGene00011708,T11B7.5,Glia,1931.19,Hypodermis,1.10,917.84,0,0
WBGene00001392,far-8,Glia,9269.55,Neurons,10.99,773.20,0,0
WBGene00001710,grl-1,Glia,3492.05,Hypodermis,4.53,631.57,0,0
WBGene00006886,vap-1,Glia,4554.57,Neurons,6.54,604.15,0,0
WBGene00011072,tag-209,Glia,1423.12,Neurons,1.38,598.15,0,0
WBGene00009995,F53F4.13,Glia,4901.59,Neurons,7.51,576.27,0,0
WBGene00016781,C49G7.3,Pharynx,10613.59,Neurons,17.66,568.73,0,0
WBGene00019017,F57F4.4,Intestine,2803.41,Neurons,3.96,565.24,0,0
WBGene00011535,T06E4.8,Pharynx,2522.09,Hypodermis,3.53,556.93,0,0
WBGene00014091,ZK822.4,Glia,11010.03,Pharynx,20.02,523.78,0,0
WBGene00010987,R03C1.1,Pharynx,5568.45,Hypodermis,9.80,515.64,0,0
WBGene00016733,phat-2,Pharynx,2026.02,Neurons,3.01,505.85,0,0
WBGene00004008,pgp-14,Pharynx,10432.90,Neurons,21.57,462.31,0,0
WBGene00003786,npa-1,Intestine,34817.58,Neurons,78.27,439.25,0,0
WBGene00009388,F35B12.9,Glia,3514.09,Neurons,7.35,421.02,0,0
WBGene00004146,pqn-63,Pharynx,1389.87,Neurons,2.50,397.16,0,0
WBGene00009259,hpo-34,Intestine,3250.20,Neurons,7.36,388.88,0,0
WBGene00044011,T06E4.12,Pharynx,7691.47,Hypodermis,19.01,384.34,0,0
WBGene00011537,T06E4.10,Pharynx,5089.81,Neurons,12.67,372.25,0,0
WBGene00008841,F15A4.6,Pharynx,1212.46,Neurons,2.52,344.90,0,0
