Table S7: Differential expression test results for the identification of cell type enriched genes. ,,,,,,,,
gene_id,symbol,max.cell.type,max.cell.type.expr,cell.type.2,cell.type.2.expr,ratio,pval,qval
WBGene00003786,npa-1,Intestine,34817.58,Cholinergic_neurons,82.85,415.24,0,0
WBGene00006404,tag-10,Intestine,1932.95,Body_wall_muscle,6.29,265.09,0,0
WBGene00019160,H05L03.3,flp-1(+)_interneurons,33283.43,Cholinergic_neurons,171.69,192.74,0,0
WBGene00000733,col-160,Non-seam_hypodermis,2521.98,Seam_cells,61.22,40.53,1.82804288961261e-322,9.26407670547546e-319
WBGene00000583,cof-2,Coelomocytes,1370.15,Body_wall_muscle,7.81,155.44,7.76E-298,3.15E-294
WBGene00019563,K09C6.9,Am/PH_sheath_cells,6411.89,Non-seam_hypodermis,4.83,1099.23,4.79E-289,1.62E-285
WBGene00012544,Y37D8A.2,Body_wall_muscle,678.36,Germline,67.29,9.93,2.65E-287,7.67E-284
WBGene00000732,col-159,Non-seam_hypodermis,2656.41,Seam_cells,126.21,20.88,3.46E-267,8.77E-264
WBGene00003758,nlp-20,Oxygen_sensory_neurons,22157.01,Cholinergic_neurons,222.81,99.00,2.01E-261,4.53E-258
WBGene00000668,col-93,Non-seam_hypodermis,2954.32,Seam_cells,237.48,12.39,2.89E-234,5.85E-231
WBGene00013885,ZC412.4,Canal_associated_neurons,5727.08,Body_wall_muscle,2.60,1590.35,6.98E-233,1.29E-229
WBGene00012148,inos-1,Coelomocytes,55827.01,Other_interneurons,567.67,98.17,7.18E-223,1.21E-219
WBGene00008841,F15A4.6,Pharyngeal_gland,8992.66,Ciliated_sensory_neurons,19.97,428.85,6.92E-214,1.08E-210
WBGene00000641,col-65,Seam_cells,7308.68,Non-seam_hypodermis,677.75,10.77,1.14E-204,1.65E-201
WBGene00016558,C41A3.1,Canal_associated_neurons,15759.83,Coelomocytes,250.24,62.73,8.84E-204,1.19E-200
WBGene00000601,col-12,Non-seam_hypodermis,3960.66,Seam_cells,489.17,8.08,1.36E-202,1.72E-199
WBGene00017376,F11C7.2,Am/PH_sheath_cells,3568.66,Non-seam_hypodermis,2.59,993.33,1.43E-201,1.70E-198
WBGene00016781,C49G7.3,Pharyngeal_gland,78523.98,Pharyngeal_muscle,242.73,322.17,2.25E-199,2.53E-196
WBGene00001444,flp-1,flp-1(+)_interneurons,71703.06,Pharyngeal_neurons,86.07,823.48,1.15E-197,1.23E-194
WBGene00003744,nlp-6,Pharyngeal_neurons,10487.47,Ciliated_sensory_neurons,50.01,205.61,4.41E-197,4.47E-194
WBGene00020237,phat-4,Pharyngeal_gland,50615.95,Pharyngeal_muscle,78.54,636.39,4.75E-197,4.58E-194
WBGene00003891,osm-11,Vulval_precursors,10456.18,Non-seam_hypodermis,599.75,17.41,2.00E-184,1.84E-181
WBGene00000719,col-146,Non-seam_hypodermis,1607.62,Seam_cells,80.40,19.75,8.62E-181,7.59E-178
WBGene00003178,mec-17,Touch_receptor_neurons,24033.03,GABAergic_neurons,46.95,501.23,1.33E-180,1.13E-177
WBGene00000704,col-130,Non-seam_hypodermis,4779.31,Seam_cells,767.33,6.22,5.60E-177,4.54E-174
WBGene00015608,math-3,Intestine,862.63,Body_wall_muscle,0.18,732.98,8.08E-173,6.30E-170
WBGene00001392,far-8,Am/PH_sheath_cells,23520.94,Socket_cells,112.96,206.40,3.84E-165,2.88E-162
WBGene00000707,col-133,Non-seam_hypodermis,1131.83,Seam_cells,44.06,25.12,1.51E-163,1.09E-160
WBGene00011869,dod-6,Pharyngeal_gland,29372.41,Pharyngeal_muscle,89.50,324.57,1.58E-163,1.10E-160
WBGene00018101,math-27,Intestine,950.84,Germline,0.00,950.84,3.52E-163,2.38E-160
WBGene00006589,tnt-4,Pharyngeal_muscle,6588.63,Ciliated_sensory_neurons,69.91,92.91,5.64E-156,3.69E-153
WBGene00020155,T02B11.3,Am/PH_sheath_cells,41329.17,Socket_cells,576.74,71.54,1.07E-152,6.80E-150
WBGene00006886,vap-1,Am/PH_sheath_cells,11575.66,GABAergic_neurons,43.35,260.99,1.19E-152,7.31E-150
WBGene00014091,ZK822.4,Am/PH_sheath_cells,27736.60,Socket_cells,326.26,84.75,5.84E-150,3.48E-147
WBGene00017892,F28B4.3,Intestine,1552.77,Coelomocytes,2.54,438.73,1.75E-147,1.01E-144
WBGene00010070,nep-17,Intestine,8366.29,GABAergic_neurons,21.96,364.45,2.38E-146,1.34E-143
WBGene00013481,Y69H2.3,Am/PH_sheath_cells,11614.90,Coelomocytes,924.59,12.55,2.95E-145,1.62E-142
WBGene00012421,Y9C2UA.1,Ciliated_sensory_neurons,951.27,Body_wall_muscle,25.81,35.49,2.39E-144,1.27E-141
WBGene00000653,col-77,Seam_cells,5861.06,Non-seam_hypodermis,932.94,6.28,8.30E-137,4.31E-134
WBGene00006979,zig-2,flp-1(+)_interneurons,3107.56,Seam_cells,1.03,1530.59,2.38E-136,1.20E-133
WBGene00009968,fig-1,Am/PH_sheath_cells,13069.05,Socket_cells,98.29,131.62,7.24E-134,3.58E-131
WBGene00008140,xpf-1,Coelomocytes,1216.90,Germline,195.25,6.20,3.06E-130,1.48E-127
WBGene00018303,F41G3.10,Pharyngeal_gland,13479.86,Pharyngeal_muscle,46.49,283.85,1.43E-126,6.75E-124
WBGene00001819,haf-9,Intestine,804.32,Germline,9.69,75.25,4.20E-125,1.93E-122
WBGene00003171,mec-7,Touch_receptor_neurons,35936.31,Other_interneurons,1217.36,29.50,5.03E-125,2.27E-122
WBGene00016733,phat-2,Pharyngeal_gland,14953.61,Pharyngeal_muscle,83.60,176.76,1.34E-124,5.92E-122
WBGene00012445,Y16B4A.2,Intestine,1838.40,Cholinergic_neurons,18.54,94.07,7.38E-123,3.18E-120
WBGene00000602,col-13,Non-seam_hypodermis,1801.97,Seam_cells,257.92,6.96,2.05E-117,8.66E-115
WBGene00012863,Y45F3A.8,Pharyngeal_gland,2381.56,Coelomocytes,10.30,210.78,1.22E-115,5.03E-113
WBGene00021171,Y8A9A.2,Pharyngeal_gland,1943.16,Coelomocytes,2.62,536.70,1.23E-112,4.98E-110
WBGene00006915,vha-6,Intestine,1215.21,Coelomocytes,5.87,176.98,2.70E-112,1.07E-109
WBGene00018237,drd-2,Intestine,5457.54,Socket_cells,17.88,289.11,1.20E-110,4.67E-108
WBGene00019289,kcc-3,Am/PH_sheath_cells,2530.96,Ciliated_sensory_neurons,34.84,70.62,3.41E-109,1.30E-106
WBGene00013855,ZC116.3,Coelomocytes,12763.57,Pharyngeal_gland,55.61,225.45,4.84E-108,1.82E-105
WBGene00011507,T05H10.1,GABAergic_neurons,2753.88,Germline,363.91,7.55,1.11E-104,4.08E-102
WBGene00003514,myo-2,Pharyngeal_muscle,8836.51,Touch_receptor_neurons,78.35,111.37,1.21E-103,4.40E-101
WBGene00017613,F20A1.1,Am/PH_sheath_cells,10790.42,Socket_cells,256.47,41.91,7.07E-102,2.51E-99
