Table S9: Differential expression test results for anterior vs. posterior body wall muscle. ,,,,,
gene_id,symbol,q-value,anterior TPM,posterior TPM,"moderated log2
(anterior / posterior)"
WBGene00006585,tni-3,0,3690.250,0.000,11.850
WBGene00011880,T21B6.3,0,6105.790,47.407,6.979
WBGene00018271,F41C3.5,4.02E-189,516.734,5664.767,-3.452
WBGene00002268,lec-5,7.95E-161,198.128,2712.676,-3.768
WBGene00000857,cwn-1,3.17E-158,0.000,1254.761,-10.293
WBGene00001386,far-2,7.31E-142,763.485,5336.085,-2.803
WBGene00001863,him-4,1.36E-111,512.572,3555.507,-2.791
WBGene00001385,far-1,2.76E-96,4564.447,18181.763,-1.994
WBGene00013884,ZC412.3,3.67E-96,85.620,1155.195,-3.737
WBGene00002254,lbp-2,1.78E-95,39.793,897.221,-4.459
WBGene00006893,spon-1,2.93E-77,39.826,702.986,-4.106
WBGene00013077,ttr-24,6.81E-76,32.892,693.465,-4.355
WBGene00012382,ttr-16,4.86E-67,709.124,2804.212,-1.981
WBGene00001328,epi-1,7.11E-66,1472.255,5046.722,-1.776
WBGene00006584,tni-1,1.06E-59,584.181,2196.766,-1.908
WBGene00003242,mig-6,4.10E-56,1433.031,4616.236,-1.687
WBGene00002247,lam-1,4.91E-54,655.921,2308.982,-1.813
WBGene00016913,lam-2,2.47E-51,862.034,2778.648,-1.687
WBGene00022801,pcp-5,5.35E-46,158.452,784.534,-2.299
WBGene00009514,F37H8.5,4.88E-45,124.892,671.617,-2.415
WBGene00012857,pbo-5,1.69E-44,5.883,374.409,-5.766
WBGene00008443,pde-3,3.50E-44,451.397,31.282,3.806
WBGene00006983,zig-6,2.08E-40,2.085,270.424,-6.454
WBGene00001113,dur-1,3.70E-38,800.944,2305.642,-1.524
WBGene00008572,F08B12.4,3.66E-37,92.286,575.390,-2.625
WBGene00001594,glc-4,4.56E-35,329.919,8.655,5.095
WBGene00018519,F46H5.3,1.00E-32,7824.159,3432.478,1.188
WBGene00018522,F46H5.7,1.23E-32,767.626,235.590,1.698
WBGene00002007,hsp-3,8.79E-32,786.160,2025.977,-1.364
WBGene00000776,cpl-1,1.94E-31,1930.884,717.015,1.427
WBGene00006609,tre-3,1.94E-31,222.439,0.000,7.797
WBGene00006663,twk-8,4.38E-31,360.516,1070.901,-1.567
WBGene00006874,vab-8,4.04E-30,562.515,135.376,2.044
WBGene00013969,tep-1,3.77E-29,17.694,259.548,-3.795
WBGene00017374,ttr-41,1.54E-28,44.641,354.899,-2.959
WBGene00000170,aqp-2,3.97E-28,691.264,1700.968,-1.297
WBGene00022500,lfi-1,4.31E-28,248.812,11.486,4.317
WBGene00022633,ZC581.3,2.46E-27,235.835,6.855,4.908
WBGene00001188,egl-20,3.38E-27,0.000,164.363,-7.361
