classifier,index,count,fraction,order,bin
multiplex,1,28924,0.0018971727639348795,47,1
multiplex,2,13763,0.0009027378215335274,19,0
multiplex,3,14172,0.0009295648046772616,20,0
multiplex,4,27049,0.001774188428007003,42,1
multiplex,5,1407,9.228744568027851e-05,3,0
multiplex,6,19499,0.0012789715020040872,28,1
multiplex,7,9787,0.0006419454377206011,13,0
multiplex,8,10477,0.0006872036733420597,14,0
multiplex,9,4450,0.0002918828239354935,7,0
multiplex,10,23418,0.001536025162004806,35,1
multiplex,11,15334,0.0010057822971296308,22,1
multiplex,12,245,1.6069953227909192e-05,0,0
multiplex,13,4422,0.0002900462578523039,6,0
multiplex,14,5122,0.0003359604099320444,9,0
multiplex,15,4043,0.00026518702408341577,5,0
multiplex,16,22017,0.0014441312661994967,32,1
multiplex,17,16807,0.0011023987914345705,24,1
multiplex,18,18129,0.0011891109472194521,25,1
multiplex,19,24076,0.001579184464959762,36,1
multiplex,20,24830,0.0016286405659142256,39,1
multiplex,21,6961,0.00045658344661010566,11,0
multiplex,22,1146,7.516802611911811e-05,2,0
multiplex,23,18854,0.0012366648904448977,27,1
multiplex,24,4921,0.00032277648912057606,8,0
multiplex,25,24196,0.0015870554624591463,37,1
multiplex,26,13130,0.0008612183097242764,17,0
multiplex,27,20697,0.0013575502937062717,29,1
multiplex,28,14782,0.000969575708632464,21,0
multiplex,29,340,2.230115958158827e-05,1,0
multiplex,30,28562,0.001873428588145071,44,1
multiplex,31,28701,0.0018825458269151908,45,1
multiplex,32,13446,0.0008819452698059877,18,0
multiplex,33,35103,0.0023024635435073323,63,1
multiplex,34,26339,0.0017276183594689806,41,1
multiplex,35,33981,0.002228869716888091,62,1
multiplex,36,32730,0.0021468145679570116,59,1
multiplex,37,2644,0.0001734243115697629,4,0
multiplex,38,25554,0.0016761289174938429,40,1
multiplex,39,23256,0.0015253993153806376,34,1
multiplex,40,8920,0.000585077480787551,12,0
multiplex,41,36495,0.0023937671145001877,65,1
multiplex,42,18824,0.0012346971410700516,26,1
multiplex,43,33535,0.0021996158428487134,61,1
multiplex,44,30224,0.0019824419035115405,51,1
multiplex,45,20816,0.0013653556995598276,30,1
multiplex,46,28763,0.0018866125089565392,46,1
multiplex,47,31114,0.0020408184682986392,55,1
multiplex,48,31605,0.002073023966400286,56,1
multiplex,49,29630,0.0019434804658895893,49,1
multiplex,50,31823,0.0020873229451908335,57,1
multiplex,51,40501,0.00265652724768796,66,1
multiplex,52,16350,0.0010724234092910829,23,1
multiplex,53,29064,0.0019063555943508277,48,1
multiplex,54,21908,0.0014369817768042229,31,1
multiplex,55,30708,0.0020141882600923896,53,1
multiplex,56,32317,0.0021197252182299647,58,1
multiplex,57,22967,0.0015064433297362874,33,1
multiplex,58,29806,0.0019550245955553525,50,1
multiplex,59,24672,0.0016182770858733698,38,1
multiplex,60,10519,0.000689958522466844,15,0
multiplex,61,5370,0.0003522271380974382,10,0
multiplex,62,10901,0.0007150145311732168,16,0
multiplex,63,27701,0.00181695418108699,43,1
multiplex,64,30657,0.0020108430861551516,52,1
multiplex,65,32757,0.002148585542394373,60,1
multiplex,66,35459,0.002325814169422172,64,1
multiplex,67,30909,0.0020273721809038582,54,1
multiplex,68,241442,0.015836578152052454,79,2
multiplex,69,266219,0.017461742360737786,88,2
multiplex,70,194565,0.012761838570563885,72,2
multiplex,71,272531,0.017875756829205388,90,2
multiplex,72,376073,0.024667247021548953,98,2
multiplex,73,284058,0.01863183173066706,93,2
multiplex,74,260580,0.01709187106991256,86,2
multiplex,75,282180,0.018508650619801698,92,2
multiplex,76,263690,0.017295861088438266,87,2
multiplex,77,286686,0.018804206575903572,94,2
multiplex,78,246149,0.016145318028965794,82,2
multiplex,79,254886,0.016718392238566786,85,2
multiplex,80,251854,0.01651951836841568,83,2
multiplex,81,230355,0.015109363574755192,75,2
multiplex,82,222620,0.01460201219427406,74,2
multiplex,83,234215,0.015362547327652047,77,2
multiplex,84,232939,0.015278852387575263,76,2
multiplex,85,295671,0.019393547513669954,95,2
multiplex,86,235200,0.015427155098792824,78,2
multiplex,87,266242,0.017463250968591835,89,2
multiplex,88,129036,0.008463683611087717,69,2
multiplex,89,80083,0.005252775772859803,68,2
multiplex,90,216520,0.014201903154722034,73,2
multiplex,91,252160,0.01653958941203911,84,2
multiplex,92,244385,0.01602961436572485,81,2
multiplex,93,67512,0.004428223193153492,67,2
multiplex,94,326825,0.021436989647801722,97,2
multiplex,95,242419,0.015900661190026606,80,2
multiplex,96,140769,0.009233270391589997,70,2
multiplex,97,302514,0.019842391146072332,96,2
multiplex,98,145125,0.00951898760081764,71,2
multiplex,99,274049,0.017975324947572598,91,2
multiplex,100,4879642,0.32006374983241337,99,3
