ssid,index,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,1,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,28910,7,14,28924,28917,0.0002420721374969741,0.000484027105517909,0.9997579278625031,0.9995159728944821,0.9996369357376256
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,1,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,28869,3,55,28924,28872,0.00010390689941812137,0.0019015350573917853,0.9998960931005819,0.9980984649426082,0.9989964703439684
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,1,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,28917,0,7,28924,28917,0.0,0.0002420135527589545,1.0,0.999757986447241,0.9998789785792085
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,1,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,28917,0,7,28924,28917,0.0,0.0002420135527589545,1.0,0.999757986447241,0.9998789785792085
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,1,0.0010195846534589079,0.0010154784442797933,0,pamld_u,multiplex,28917,2,7,28924,28919,6.915868460181887e-05,0.0002420135527589545,0.9999308413153982,0.999757986447241,0.9998444064104559
37e41038-310c-44e1-a1ed-8979b0f73709,1,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,28924,0,0,28924,28924,0.0,0.0,1.0,1.0,1.0
37e41038-310c-44e1-a1ed-8979b0f73709,1,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,28924,3,0,28924,28927,0.00010370933729733467,0.0,0.9998962906627027,1.0,0.9999481426423052
37e41038-310c-44e1-a1ed-8979b0f73709,1,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,28924,0,0,28924,28924,0.0,0.0,1.0,1.0,1.0
37e41038-310c-44e1-a1ed-8979b0f73709,1,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,28924,0,0,28924,28924,0.0,0.0,1.0,1.0,1.0
37e41038-310c-44e1-a1ed-8979b0f73709,1,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,28924,0,0,28924,28924,0.0,0.0,1.0,1.0,1.0
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,1,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,28922,3,2,28924,28925,0.00010371650821089024,6.914672935970129e-05,0.9998962834917892,0.9999308532706404,0.9999135680824214
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,1,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,28909,3,15,28924,28912,0.00010376314333148866,0.0005186004701977597,0.9998962368566685,0.9994813995298022,0.9996887751573414
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,1,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,28923,0,1,28924,28923,0.0,3.4573364679850644e-05,1.0,0.9999654266353202,0.9999827130188256
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,1,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,28923,0,1,28924,28923,0.0,3.4573364679850644e-05,1.0,0.9999654266353202,0.9999827130188256
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,1,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,28923,1,1,28924,28924,3.4573364679850644e-05,3.4573364679850644e-05,0.9999654266353202,0.9999654266353202,0.9999654266353202
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,1,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,28912,4,12,28924,28916,0.00013833171946327292,0.00041488037615820773,0.9998616682805367,0.9995851196238418,0.9997233748271093
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,1,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,28872,3,52,28924,28875,0.0001038961038961039,0.0017978149633522335,0.999896103896104,0.9982021850366478,0.9990484264433642
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,1,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,28916,0,8,28924,28916,0.0,0.00027658691743880515,1.0,0.9997234130825612,0.9998616874135546
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,1,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,28916,0,8,28924,28916,0.0,0.00027658691743880515,1.0,0.9997234130825612,0.9998616874135546
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,1,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,28918,2,6,28924,28920,6.915629322268326e-05,0.00020744018807910387,0.9999308437067773,0.999792559811921,0.9998616969780789
40a08990-33b3-41f5-b061-2561bc84ca96,1,0.0015086547052242097,0.0015048144038075785,0.0015,deml,multiplex,28898,7,26,28924,28905,0.00024217263449230237,0.0008989074816761167,0.9997578273655077,0.9991010925183239,0.9994293520551971
40a08990-33b3-41f5-b061-2561bc84ca96,1,0.0015086547052242097,0.0015048144038075785,0.0015,mdd,multiplex,28850,3,74,28924,28853,0.00010397532318996292,0.0025584289863089475,0.99989602467681,0.997441571013691,0.9986672897519774
40a08990-33b3-41f5-b061-2561bc84ca96,1,0.0015086547052242097,0.0015048144038075785,0.0015,pamld,multiplex,28911,0,13,28924,28911,0.0,0.0004494537408380584,1.0,0.999550546259162,0.9997752226160629
40a08990-33b3-41f5-b061-2561bc84ca96,1,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_ap,multiplex,28911,0,13,28924,28911,0.0,0.0004494537408380584,1.0,0.999550546259162,0.9997752226160629
40a08990-33b3-41f5-b061-2561bc84ca96,1,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_u,multiplex,28908,4,16,28924,28912,0.0001383508577753182,0.0005531738348776103,0.9998616491422246,0.9994468261651224,0.9996541946192683
