ssid,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,13876821,0,2,13876823,13876821,0.0,1.4412520790962022e-07,1.0,0.9999998558747921,0.9999999279373908
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,13876327,0,496,13876823,13876327,0.0,3.574305156158582e-05,1.0,0.9999642569484384,0.999982128154822
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,13876810,0,13,13876823,13876810,0.0,9.368138514125315e-07,1.0,0.9999990631861486,0.9999995315928549
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,13876810,0,13,13876823,13876810,0.0,9.368138514125315e-07,1.0,0.9999990631861486,0.9999995315928549
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,13876821,0,2,13876823,13876821,0.0,1.4412520790962022e-07,1.0,0.9999998558747921,0.9999999279373908
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,13876694,14,129,13876823,13876708,1.0088848161970404e-06,9.296075910170506e-06,0.9999989911151838,0.9999907039240898,0.9999948475024675
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,13868679,0,8144,13876823,13868679,0.0,0.0005868778466079736,1.0,0.9994131221533921,0.99970647494502
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,13876744,11,79,13876823,13876755,7.926925279000746e-07,5.69294571243e-06,0.999999207307472,0.9999943070542876,0.9999967571748766
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,13876744,11,79,13876823,13876755,7.926925279000746e-07,5.69294571243e-06,0.999999207307472,0.9999943070542876,0.9999967571748766
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,13876715,10,108,13876823,13876725,7.206311287425527e-07,7.782761227119492e-06,0.9999992793688712,0.9999922172387729,0.9999957482913536
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,13876056,163,767,13876823,13876219,1.1746715729983795e-05,5.527201723333936e-05,0.99998825328427,0.9999447279827667,0.9999664901598894
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,13853557,0,23266,13876823,13853557,0.0,0.0016766085436126122,1.0,0.9983233914563874,0.9991609923845256
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,13876288,105,535,13876823,13876393,7.566807887323456e-06,3.855349311582341e-05,0.9999924331921127,0.9999614465068841,0.9999769396094492
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,13876287,105,536,13876823,13876392,7.566808432624273e-06,3.862555571977822e-05,0.9999924331915674,0.9999613744442802,0.9999769035767568
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,13876012,160,811,13876823,13876172,1.1530557562993598e-05,5.844277180735101e-05,0.999988469442437,0.9999415572281927,0.9999650127851066
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,13876061,165,762,13876823,13876226,1.1890841212877334e-05,5.491170421356531e-05,0.9999881091587871,0.9999450882957864,0.9999665982645727
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,13852882,0,23941,13876823,13852882,0.0,0.001725250801282109,1.0,0.9982747491987178,0.9991366298343238
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,13876311,81,512,13876823,13876392,5.837252219453011e-06,3.689605322486278e-05,0.9999941627477805,0.9999631039467751,0.9999786331061105
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,13876311,81,512,13876823,13876392,5.837252219453011e-06,3.689605322486278e-05,0.9999941627477805,0.9999631039467751,0.9999786331061105
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_u,multiplex,13876030,138,793,13876823,13876168,9.945108764898205e-06,5.7145644936164426e-05,0.999990054891235,0.9999428543550638,0.999966454066158
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,deml,multiplex,13875127,506,1696,13876823,13875633,3.646680479369842e-05,0.00012221817630735796,0.9999635331952063,0.9998777818236927,0.9999206556709792
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,mdd,multiplex,13837916,0,38907,13876823,13837916,0.0,0.002803739732069797,1.0,0.9971962602679302,0.9985961621359668
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld,multiplex,13875449,317,1374,13876823,13875766,2.2845585605868535e-05,9.90140178339091e-05,0.9999771544143942,0.9999009859821661,0.9999390687477843
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_ap,multiplex,13875449,317,1374,13876823,13875766,2.2845585605868535e-05,9.90140178339091e-05,0.9999771544143942,0.9999009859821661,0.9999390687477843
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_u,multiplex,13874847,503,1976,13876823,13875350,3.625133780409143e-05,0.00014239570541470478,0.999963748662196,0.9998576042945853,0.9999106736614822
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,deml,multiplex,13872541,1722,4282,13876823,13874263,0.00012411470072320237,0.0003085720701344969,0.9998758852992768,0.9996914279298655,0.9997836481066003
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,mdd,multiplex,13808782,2,68041,13876823,13808784,1.4483534538595143e-07,0.004903211635689235,0.9999998551646546,0.9950967883643108,0.9975422969776317
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,pamld,multiplex,13872929,1254,3894,13876823,13874183,9.03837004312254e-05,0.0002806117798000306,0.9999096162995688,0.9997193882202,0.9998144932115254
