ssid,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,1368977,2,44,1369021,1368979,1.4609427902108067e-06,3.2139755343416936e-05,0.9999985390572098,0.9999678602446566,0.9999831994156319
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,1368768,496,253,1369021,1369264,0.0003622383996073803,0.0001848035932246474,0.9996377616003926,0.9998151964067753,0.9997264711306528
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,1368998,13,23,1369021,1369011,9.495906168759783e-06,1.6800326656786125e-05,0.9999905040938313,0.9999831996733433,0.9999868518702484
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,1368998,13,23,1369021,1369011,9.495906168759783e-06,1.6800326656786125e-05,0.9999905040938313,0.9999831996733433,0.9999868518702484
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,1368986,2,35,1369021,1368988,1.460933185681686e-06,2.556571447771802e-05,0.9999985390668144,0.9999744342855222,0.9999864865309062
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,1368697,127,324,1369021,1368824,9.278037205659749e-05,0.00023666547116516108,0.9999072196279434,0.9997633345288348,0.9998352719018059
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,1368769,8144,252,1369021,1376913,0.005914680157715121,0.00018407314423956974,0.9940853198422849,0.9998159268557605,0.9969423882729884
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,1368965,78,56,1369021,1369043,5.697410526915517e-05,4.090514316434883e-05,0.9999430258947308,0.9999590948568357,0.9999510603112272
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,1368965,78,56,1369021,1369043,5.697410526915517e-05,4.090514316434883e-05,0.9999430258947308,0.9999590948568357,0.9999510603112272
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,1368894,107,127,1369021,1369001,7.815918322923065e-05,9.276702110486253e-05,0.9999218408167708,0.9999072329788952,0.9999145368444812
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,1368349,735,672,1369021,1369084,0.0005368552988713622,0.0004908617179721859,0.9994631447011286,0.9995091382820278,0.999486140962454
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,1368769,23266,252,1369021,1392035,0.01671366021687673,0.00018407314423956974,0.9832863397831233,0.9998159268557605,0.9914822444745779
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,1368932,530,89,1369021,1369462,0.0003870132942717651,6.500995967191153e-05,0.9996129867057283,0.999934990040328,0.9997739624456314
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,1368932,531,89,1369021,1369463,0.0003877432248991028,6.500995967191153e-05,0.9996122567751009,0.999934990040328,0.9997735973626284
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,1368759,810,262,1369021,1369569,0.0005914269379636951,0.00019137763409034632,0.9994085730620363,0.9998086223659096,0.9996085576884455
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,1368331,713,690,1369021,1369044,0.0005208013767271176,0.0005040097997035838,0.9994791986232728,0.9994959902002964,0.9994875943412591
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,1368769,23941,252,1369021,1392710,0.017190226249542258,0.00018407314423956974,0.9828097737504577,0.9998159268557605,0.9912399143870276
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,1368934,510,87,1369021,1369444,0.0003724139139680045,6.354906170175622e-05,0.999627586086032,0.9999364509382982,0.999781994657591
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,1368934,510,87,1369021,1369444,0.0003724139139680045,6.354906170175622e-05,0.999627586086032,0.9999364509382982,0.999781994657591
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_u,multiplex,1368765,792,256,1369021,1369557,0.0005782891840208184,0.00018699494017988038,0.9994217108159792,0.9998130050598201,0.999617319645451
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,deml,multiplex,1368061,1552,960,1369021,1369613,0.0011331668142752734,0.0007012310256745514,0.9988668331857248,0.9992987689743255,0.9990827543950743
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,mdd,multiplex,1368770,38907,251,1369021,1407677,0.02763915301592624,0.00018334269525449207,0.9723608469840738,0.9998166573047456,0.9858976381298938
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld,multiplex,1368865,1372,156,1369021,1370237,0.001001286638734759,0.0001139500416721146,0.9989987133612652,0.9998860499583279,0.9994421847084137
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_ap,multiplex,1368865,1372,156,1369021,1370237,0.001001286638734759,0.0001139500416721146,0.9989987133612652,0.9998860499583279,0.9994421847084137
