ssid,rate,expected,requested,tool,classifier,variable,value
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,FDR,1.4609427902108067e-06
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,FN,44
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,FP,2
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,MR,3.2139755343416936e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,TP,1368977
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,TP_FN,1369021
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,TP_FP,1368979
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,fscore,0.9999831994156319
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,precision,0.9999985390572098
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,recall,0.9999678602446566
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,FDR,0.0003622383996073803
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,FN,253
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,FP,496
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,MR,0.0001848035932246474
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,TP,1368768
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,TP_FN,1369021
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,TP_FP,1369264
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,fscore,0.9997264711306528
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,precision,0.9996377616003926
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,recall,0.9998151964067753
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,FDR,9.495906168759783e-06
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,FN,23
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,FP,13
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,MR,1.6800326656786125e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,TP,1368998
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,TP_FN,1369021
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,TP_FP,1369011
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,fscore,0.9999868518702484
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,precision,0.9999905040938313
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,recall,0.9999831996733433
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,FDR,9.495906168759783e-06
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,FN,23
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,FP,13
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,MR,1.6800326656786125e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,TP,1368998
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,TP_FN,1369021
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,TP_FP,1369011
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,fscore,0.9999868518702484
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,precision,0.9999905040938313
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,recall,0.9999831996733433
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,FDR,1.460933185681686e-06
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,FN,35
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,FP,2
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,MR,2.556571447771802e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,TP,1368986
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,TP_FN,1369021
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,TP_FP,1368988
