Table S8: Differential expression test results for the identification of neuron cluster enriched genes.,,,,,,,,
gene_id,symbol,max.cluster,max.cluster.expr,cluster.2,cluster.2.expr,ratio,pval,qval
WBGene00013885,ZC412.4,CAN,5727.08,Cholinergic_(11),2.44,1662.95,2.20E-179,2.01E-176
WBGene00013588,nlp-42,Cholinergic_(35),22672.28,Cholinergic_(11),30.59,717.74,1.84E-140,8.45E-138
WBGene00022191,Y71H2B.1,CAN,2621.91,Cholinergic_(11),0.91,1370.07,2.54E-95,7.76E-93
WBGene00011644,T09B9.3,Cluster_21,3836.12,Cholinergic_(11),4.10,751.82,9.54E-78,2.19E-75
WBGene00003178,mec-17,Touch_receptor,24033.03,Cluster_16,193.08,123.83,9.46E-76,1.74E-73
WBGene00003755,nlp-17,Cluster_27,27430.77,SDQ/ALN/PLN,57.66,467.62,2.13E-66,3.25E-64
WBGene00003758,nlp-20,SDQ/ALN/PLN,42236.79,Cholinergic_(26),2250.22,18.76,1.04E-63,1.37E-61
WBGene00009183,F27C8.2,CAN,1647.88,Cholinergic_(11),2.07,537.16,5.09E-63,5.83E-61
WBGene00003171,mec-7,Touch_receptor,35936.31,PVC/PVD,2473.81,14.52,4.41E-57,4.50E-55
WBGene00000955,des-2,PVC/PVD,9088.94,Touch_receptor,655.79,13.84,6.90E-51,6.33E-49
WBGene00003175,mec-12,Touch_receptor,23428.01,Cluster_25,3123.28,7.50,1.13E-50,9.39E-49
WBGene00001460,flp-17,BAG,51482.15,ASG,366.13,140.23,7.90E-47,6.04E-45
WBGene00001455,flp-12,Cholinergic_(26),17812.49,Dopaminergic,822.47,21.63,8.53E-44,6.01E-42
WBGene00044686,flp-28,Pharyngeal_(33),26731.86,Pharyngeal_(37),1470.92,18.16,3.81E-41,2.50E-39
WBGene00016324,C32E8.6,CAN,5279.69,PVC/PVD,98.61,53.00,4.22E-39,2.58E-37
WBGene00007827,C30H6.10,Pharyngeal_(37),2624.71,Cluster_25,12.35,196.56,9.84E-39,5.64E-37
WBGene00003744,nlp-6,Pharyngeal_(33),46315.32,ASK,428.67,107.79,1.73E-37,9.34E-36
WBGene00000951,deg-3,PVC/PVD,5269.71,Touch_receptor,434.21,12.11,5.58E-37,2.84E-35
WBGene00206386,K10C2.12,CAN,972.52,Cholinergic_(11),1.00,486.40,5.16E-35,2.49E-33
WBGene00019734,M02E1.2,Cholinergic_(3),1315.51,Cholinergic_(11),57.94,22.32,5.93E-33,2.72E-31
WBGene00003856,odr-10,AWA,10706.61,ASI/ASJ,74.32,142.14,4.08E-31,1.78E-29
WBGene00003471,mtd-1,Touch_receptor,4025.53,Cluster_16,77.23,51.46,9.32E-31,3.88E-29
WBGene00001533,gcy-6,ASEL,6909.70,flp-1(+),9.39,664.74,6.89E-29,2.75E-27
WBGene00016896,nep-4,AWA,5544.83,Pharyngeal_(37),28.07,190.73,1.41E-28,5.40E-27
WBGene00015996,C18H7.6,Cluster_21,2385.15,Pharyngeal_(37),8.23,258.42,3.40E-27,1.25E-25
WBGene00001557,gcy-37,URX/AQR/PQR,5452.88,Cluster_16,52.76,101.43,1.14E-26,4.01E-25
WBGene00016530,C39D10.2,Cluster_21,5237.91,Pharyngeal_(37),269.33,19.38,4.39E-26,1.49E-24
WBGene00007219,nlp-38,Cholinergic_(23),13575.69,Cluster_25,645.32,21.00,1.10E-25,3.59E-24
WBGene00001454,flp-11,Cluster_13,80867.86,Cholinergic_(15),2490.02,32.46,8.48E-25,2.68E-23
WBGene00003173,mec-9,Touch_receptor,7088.61,Dopaminergic,636.88,11.11,1.75E-24,5.34E-23
WBGene00001546,gcy-21,ASG,2636.35,Cholinergic_(3),16.34,152.07,3.03E-24,8.97E-23
WBGene00003750,nlp-12,DVA,34073.96,Cluster_13,313.62,108.30,1.86E-23,5.33E-22
WBGene00001458,flp-15,DVA,23231.97,GABAergic,3116.45,7.45,4.85E-23,1.35E-21
WBGene00013334,Y57G11C.45,Cluster_10,10289.74,Pharyngeal_(33),84.03,121.01,2.19E-22,5.91E-21
WBGene00001210,egl-46,PVC/PVD,1360.99,Cholinergic_(11),133.86,10.09,1.40E-21,3.67E-20
WBGene00008051,lron-4,ASG,8935.96,Pharyngeal_(33),97.85,90.40,3.51E-21,8.95E-20
WBGene00003174,mec-10,Touch_receptor,3192.67,PVC/PVD,312.36,10.19,1.22E-19,3.03E-18
WBGene00001451,flp-8,URX/AQR/PQR,12118.12,Touch_receptor,1470.74,8.23,1.48E-19,3.58E-18
WBGene00077763,Y57G11B.97,BAG,7540.33,AWA,0.00,7540.33,3.90E-19,9.18E-18
WBGene00011014,hpo-30,PVC/PVD,1882.75,Cluster_25,143.18,13.06,1.02E-18,2.34E-17
WBGene00003179,mec-18,Touch_receptor,7040.67,Pharyngeal_(33),267.72,26.20,2.96E-18,6.63E-17
WBGene00003752,nlp-14,Cluster_5,52760.06,DVA,3965.33,13.30,9.65E-18,2.11E-16
WBGene00007304,ttr-39,GABAergic,3088.14,RIA,57.16,53.10,2.44E-17,5.21E-16
WBGene00001530,gcy-3,ASER,9593.51,ASG,249.17,38.35,3.07E-17,6.39E-16
WBGene00016558,C41A3.1,CAN,15759.83,Cholinergic_(23),409.37,38.40,3.22E-17,6.56E-16
WBGene00013440,Y66D12A.14,CAN,3084.99,Cluster_21,81.27,37.50,1.02E-16,2.04E-15
WBGene00001461,flp-18,Cholinergic_(24),16013.35,Cholinergic_(36),2556.91,6.26,1.41E-16,2.75E-15
